model,top1,top2,auc,brier,logloss,ece
base_rate (no skill),0.2038664323374341,0.37961335676625657,0.5017501870494084,0.16792075177053123,0.51853679227955,0.004541082808620896
volume (touches),0.46748681898066785,0.6818980667838312,0.6790926156031716,0.15647562788254554,0.48564215137944244,0.008925538630334882
weighted volume,0.47451669595782076,0.6924428822495606,0.6614940548542084,0.15821364706367388,0.4910572164237971,0.007141146611376177
historical TD rate,0.46572934973637964,0.6660808435852372,0.6712662144660091,0.15716819601645546,0.49309167556522904,0.019570724451481166
hot hand (recent),0.4147627416520211,0.6449912126537786,0.6602025746220976,0.15935479160226554,0.4944668781073686,0.027849431848260855
league Poisson,0.46748681898066785,0.6731107205623902,0.6845666179102056,0.15590605767904572,0.4836307761842088,0.007588539441657139
player-rate Poisson,0.4710017574692443,0.6977152899824253,0.6939993789399024,0.154552522355199,0.4899083867361988,0.0213573699368335
Poisson allocation (incumbent),0.4833040421792619,0.6889279437609842,0.6797840427506893,0.15585572275690027,0.48672116068101845,0.016483157896064034
logistic regression,0.5026362038664324,0.7170474516695958,0.7011081586019176,0.1529601561775073,0.4789166655017254,0.017176467170229387
logistic (no incumbent feat),0.5061511423550088,0.7100175746924429,0.7005231197321773,0.15303102717112496,0.4791781981763233,0.01776767744587733
gradient boosting,0.48857644991212656,0.7012302284710018,0.6908081494580673,0.15493360404951367,0.4821448198273144,0.023077613895960296
hist gradient boosting,0.47451669595782076,0.7100175746924429,0.6871379471908179,0.15498073639401874,0.4823833949933291,0.018207286582753744
random forest,0.5114235500878734,0.7047451669595782,0.6945529395094038,0.15406898189726692,0.48524430209587055,0.02171024652237033
extra trees,0.48857644991212656,0.7117750439367311,0.7005186734625428,0.1530713502186189,0.4847384234949196,0.021804116622085597
gaussian naive bayes,0.5061511423550088,0.7258347978910369,0.6931136691409621,0.15396656181926088,0.4803127640507627,0.02157814388412882
k-nearest neighbors,0.5008787346221442,0.7117750439367311,0.6814633794600514,0.15508063825370924,0.48338978487906575,0.02342811633220728
neural net (MLP),0.45166959578207383,0.6608084358523726,0.6821731071956302,0.1559071603806138,0.4973740814933677,0.011984513117732895
ensemble (incumbent+LR+GBM),0.4850615114235501,0.7100175746924429,0.6977364041290508,0.1532190010549544,0.4821440160828487,0.014333171557560247
